"Water Control Zone","Station","Dates","Sample No","Depth","5-day Biochemical Oxygen Demand (mg/L)","Ammonia Nitrogen (mg/L)","Chlorophyll-a (μg/L)","Dissolved Oxygen (%saturation)","Dissolved Oxygen (mg/L)","E. coli (cfu/100mL)","Faecal Coliforms (cfu/100mL)","Nitrate Nitrogen (mg/L)","Nitrite Nitrogen (mg/L)","Orthophosphate Phosphorus (mg/L)","pH","Phaeo-pigments (μg/L)","Salinity (psu)","Secchi Disc Depth (M)","Silica (mg/L)","Suspended Solids (mg/L)","Temperature (°C)","Total Inorganic Nitrogen (mg/L)","Total Kjeldahl Nitrogen (mg/L)","Total Nitrogen (mg/L)","Total Phosphorus (mg/L)","Turbidity (NTU)","Unionised Ammonia (mg/L)","Volatile Suspended Solids (mg/L)"
"Deep Bay","DM1","2015-01-19","1","Surface Water","7.1","1.3","56","51","4.4","6700","12000","1.3","0.23","0.16","6.8","12","20.4","0.2","5.1","75","17.2","2.83","2.5","4.03","0.26","30.9","0.004","15"
"Deep Bay","DM1","2015-02-07","1","Surface Water","3.6","0.81","18","73","6.4","880","1200","1.5","0.17","0.15","7.3","11","20.9","1.5","7","47","15.8","2.48","1.7","3.37","0.27","36.4","0.004","8"
"Deep Bay","DM1","2015-03-05","1","Surface Water","3.8","1.1","4.1","83","6.9","4700","7500","2.2","0.13","0.2","7.3","8.7","20.5","0.7","6.4","150","18.6","3.43","1.9","4.23","0.48","81.3","0.007","17"
"Deep Bay","DM1","2015-04-25","1","Surface Water","2.7","3","8.4","62","4.6","2900","5000","0.85","0.28","0.28","7.3","8.1","20.1","1.3","7.1","13","24.7","4.13","4","5.13","0.37","21","0.028","3"
"Deep Bay","DM1","2015-05-09","1","Surface Water","2.5","0.63","4.9","74","5.2","170","490","1.1","0.18","0.18","7.4","7.2","17","0.5","6.1","56","28.6","1.91","1","2.28","0.23","41.4","0.012","6.9"
"Deep Bay","DM1","2015-06-13","1","Surface Water","5.7","1.8","50","82","5.9","560","1100","0.52","0.89","0.29","7.7","37","4.3","1","14","68","31.1","3.21","3.5","4.91","0.58","44.5","0.074","18"
"Deep Bay","DM1","2015-07-18","1","Surface Water","1.6","1.3","4.5","55","3.7","1500","2800","0.5","0.35","0.31","6.8","1.5","14.7","1.2","11","22","31.7","2.15","2.1","2.95","0.43","13.1","0.007","3.7"
"Deep Bay","DM1","2015-08-03","1","Surface Water","2","0.44","5.3","49","3.4","90","170","1.2","0.64","0.16","6.9","2.9","9.2","1","9.3","15","31","2.28","0.88","2.72","0.23","16.5","0.003","2.6"
"Deep Bay","DM1","2015-09-12","1","Surface Water","3.4","1.1","6.8","64","4.5","230","830","0.83","0.63","0.26","7.2","4.3","14.8","0.6","9.1","16","29.6","2.56","1.6","3.06","0.35","12.9","0.014","2.8"
"Deep Bay","DM1","2015-10-10","1","Surface Water","2.2","1.3","7.4","45","3.4","800","2500","0.87","0.63","0.28","7.2","3.4","8.6","1.1","13","16","27.1","2.8","3.1","4.6","0.43","10.5","0.013","3.6"
"Deep Bay","DM1","2015-11-07","1","Surface Water","2.5","1.6","8.4","41","3","32000","47000","0.86","0.52","0.31","7.1","4.6","15.3","1","8.2","17","26.8","2.98","3.1","4.48","0.45","10.4","0.012","5"
