year,area_code,abundance,in_study_window,low_reliability_no_sighting,biennial_derived,source_file,source_table
2003,COMBINED,188,False,False,False,Final_Report_2021_22.pdf,Table 6b
2003,NEL,18,False,False,False,Final_Report_2021_22.pdf,Table 6b
2003,NWL,84,False,False,False,Final_Report_2021_22.pdf,Table 6b
2003,WL,56,False,False,False,Final_Report_2021_22.pdf,Table 6b
2003,SWL,30,False,False,True,Final_Report_2021_22.pdf,Table 6b
2004,COMBINED,143,False,False,False,Final_Report_2021_22.pdf,Table 6b
2004,NEL,9,False,False,False,Final_Report_2021_22.pdf,Table 6b
2004,NWL,62,False,False,False,Final_Report_2021_22.pdf,Table 6b
2004,WL,51,False,False,False,Final_Report_2021_22.pdf,Table 6b
2004,SWL,21,False,False,True,Final_Report_2021_22.pdf,Table 6b
2005,COMBINED,128,False,False,False,Final_Report_2021_22.pdf,Table 6b
2005,NEL,7,False,False,False,Final_Report_2021_22.pdf,Table 6b
2005,NWL,58,False,False,False,Final_Report_2021_22.pdf,Table 6b
2005,WL,42,False,False,False,Final_Report_2021_22.pdf,Table 6b
2005,SWL,21,False,False,True,Final_Report_2021_22.pdf,Table 6b
2006,COMBINED,113,False,False,False,Final_Report_2021_22.pdf,Table 6b
2006,NEL,9,False,False,False,Final_Report_2021_22.pdf,Table 6b
2006,NWL,54,False,False,False,Final_Report_2021_22.pdf,Table 6b
2006,WL,44,False,False,False,Final_Report_2021_22.pdf,Table 6b
2006,SWL,6,False,False,True,Final_Report_2021_22.pdf,Table 6b
2007,COMBINED,130,False,False,False,Final_Report_2021_22.pdf,Table 6b
2007,NEL,10,False,False,False,Final_Report_2021_22.pdf,Table 6b
2007,NWL,60,False,False,False,Final_Report_2021_22.pdf,Table 6b
2007,WL,54,False,False,False,Final_Report_2021_22.pdf,Table 6b
2007,SWL,6,False,False,True,Final_Report_2021_22.pdf,Table 6b
2008,COMBINED,108,False,False,False,Final_Report_2021_22.pdf,Table 6b
2008,NEL,11,False,False,False,Final_Report_2021_22.pdf,Table 6b
2008,NWL,42,False,False,False,Final_Report_2021_22.pdf,Table 6b
2008,WL,43,False,False,False,Final_Report_2021_22.pdf,Table 6b
2008,SWL,12,False,False,True,Final_Report_2021_22.pdf,Table 6b
2009,COMBINED,100,False,False,False,Final_Report_2021_22.pdf,Table 6b
2009,NEL,5,False,False,False,Final_Report_2021_22.pdf,Table 6b
2009,NWL,40,False,False,False,Final_Report_2021_22.pdf,Table 6b
2009,WL,43,False,False,False,Final_Report_2021_22.pdf,Table 6b
2009,SWL,12,False,False,True,Final_Report_2021_22.pdf,Table 6b
2010,COMBINED,86,False,False,False,Final_Report_2021_22.pdf,Table 6b
2010,NEL,7,False,False,False,Final_Report_2021_22.pdf,Table 6b
2010,NWL,35,False,False,False,Final_Report_2021_22.pdf,Table 6b
2010,WL,33,False,False,False,Final_Report_2021_22.pdf,Table 6b
2010,SWL,11,False,False,False,Final_Report_2021_22.pdf,Table 6b
2011,COMBINED,88,False,False,False,Final_Report_2021_22.pdf,Table 6b
2011,NEL,11,False,False,False,Final_Report_2021_22.pdf,Table 6b
2011,NWL,39,False,False,False,Final_Report_2021_22.pdf,Table 6b
2011,WL,28,False,False,False,Final_Report_2021_22.pdf,Table 6b
2011,SWL,10,False,False,False,Final_Report_2021_22.pdf,Table 6b
2012,COMBINED,80,True,False,False,Final_Report_2021_22.pdf,Table 6b
2012,NEL,4,True,False,False,Final_Report_2021_22.pdf,Table 6b
2012,NWL,40,True,False,False,Final_Report_2021_22.pdf,Table 6b
2012,WL,17,True,False,False,Final_Report_2021_22.pdf,Table 6b
2012,SWL,19,True,False,False,Final_Report_2021_22.pdf,Table 6b
2013,COMBINED,73,True,False,False,Final_Report_2021_22.pdf,Table 6b
2013,NEL,3,True,False,False,Final_Report_2021_22.pdf,Table 6b
2013,NWL,36,True,False,False,Final_Report_2021_22.pdf,Table 6b
2013,WL,23,True,False,False,Final_Report_2021_22.pdf,Table 6b
2013,SWL,11,True,False,False,Final_Report_2021_22.pdf,Table 6b
2014,COMBINED,87,True,False,False,Final_Report_2021_22.pdf,Table 6b
2014,NEL,1,True,False,False,Final_Report_2021_22.pdf,Table 6b
2014,NWL,24,True,False,False,Final_Report_2021_22.pdf,Table 6b
2014,WL,36,True,False,False,Final_Report_2021_22.pdf,Table 6b
2014,SWL,26,True,False,False,Final_Report_2021_22.pdf,Table 6b
2015,COMBINED,65,True,False,False,Final_Report_2021_22.pdf,Table 6b
2015,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2015,NWL,10,True,False,False,Final_Report_2021_22.pdf,Table 6b
2015,WL,31,True,False,False,Final_Report_2021_22.pdf,Table 6b
2015,SWL,24,True,False,False,Final_Report_2021_22.pdf,Table 6b
2016,COMBINED,47,True,False,False,Final_Report_2021_22.pdf,Table 6b
2016,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2016,NWL,11,True,False,False,Final_Report_2021_22.pdf,Table 6b
2016,WL,27,True,False,False,Final_Report_2021_22.pdf,Table 6b
2016,SWL,9,True,False,False,Final_Report_2021_22.pdf,Table 6b
2017,COMBINED,47,True,False,False,Final_Report_2021_22.pdf,Table 6b
2017,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2017,NWL,21,True,False,False,Final_Report_2021_22.pdf,Table 6b
2017,WL,16,True,False,False,Final_Report_2021_22.pdf,Table 6b
2017,SWL,10,True,False,False,Final_Report_2021_22.pdf,Table 6b
2018,COMBINED,32,True,False,False,Final_Report_2021_22.pdf,Table 6b
2018,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2018,NWL,6,True,False,False,Final_Report_2021_22.pdf,Table 6b
2018,WL,19,True,False,False,Final_Report_2021_22.pdf,Table 6b
2018,SWL,7,True,False,False,Final_Report_2021_22.pdf,Table 6b
2019,COMBINED,52,True,False,False,Final_Report_2021_22.pdf,Table 6b
2019,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2019,NWL,4,True,False,False,Final_Report_2021_22.pdf,Table 6b
2019,WL,29,True,False,False,Final_Report_2021_22.pdf,Table 6b
2019,SWL,19,True,False,False,Final_Report_2021_22.pdf,Table 6b
2020,COMBINED,37,True,False,False,Final_Report_2021_22.pdf,Table 6b
2020,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2020,NWL,3,True,False,False,Final_Report_2021_22.pdf,Table 6b
2020,WL,19,True,False,False,Final_Report_2021_22.pdf,Table 6b
2020,SWL,15,True,False,False,Final_Report_2021_22.pdf,Table 6b
2021,COMBINED,40,True,False,False,Final_Report_2021_22.pdf,Table 6b
2021,NEL,0,True,True,False,Final_Report_2021_22.pdf,Table 6b
2021,NWL,4,True,False,False,Final_Report_2021_22.pdf,Table 6b
2021,WL,24,True,False,False,Final_Report_2021_22.pdf,Table 6b
2021,SWL,12,True,False,False,Final_Report_2021_22.pdf,Table 6b
