date_raw,stage_no,time_raw,herd_size,area,beaufort,psd_raw,effort_status,source_type,northing,easting,season,boat_assoc,primary_secondary,date,calendar_year,month,monitoring_period,monitoring_start_year,source_file,area_code,psd
11-Apr-12,10,1445,1,SW LANTAU,1.0,103,ON,HKCRP,807733,808151,SPRING,NONE,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL,103.0
11-Apr-12,11,1640,1,W LANTAU,3.0,89,ON,HKCRP,810084,801372,SPRING,NONE,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,89.0
12-Apr-12,1,1020,1,W LANTAU,1.0,190,ON,HKCRP,816313,803797,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,190.0
12-Apr-12,2,1041,2,W LANTAU,1.0,507,ON,HKCRP,813978,803030,SPRING,NONE,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,507.0
12-Apr-12,3,1049,2,W LANTAU,2.0,12,ON,HKCRP,813558,802606,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,12.0
12-Apr-12,4,1116,1,W LANTAU,2.0,7,ON,HKCRP,811468,801365,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,7.0
12-Apr-12,5,1126,1,W LANTAU,2.0,94,ON,HKCRP,811002,801827,SPRING,NONE,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,94.0
12-Apr-12,6,1259,1,W LANTAU,2.0,530,ON,HKCRP,808435,800636,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL,530.0
12-Apr-12,7,1433,4,NW LANTAU,3.0,245,ON,HKCRP,822944,804667,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL,245.0
12-Apr-12,8,1515,4,NW LANTAU,4.0,42,ON,HKCRP,829245,804690,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL,42.0
12-Apr-12,9,1614,1,NW LANTAU,3.0,7,ON,HKCRP,821586,808352,SPRING,NONE,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL,7.0
12-Apr-12,10,1630,1,NW LANTAU,3.0,141,ON,HKCRP,824465,808440,SPRING,NONE,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL,141.0
26-Apr-12,5,1350,2,SW LANTAU,2.0,ND,OFF,HKCRP,807607,810523,SPRING,NONE,,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL,
26-Apr-12,9,1511,1,SW LANTAU,2.0,ND,OFF,HKCRP,803657,808577,SPRING,NONE,,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL,
27-Apr-12,1,1040,1,NW LANTAU,4.0,207,ON,HKCRP,820983,805322,SPRING,NONE,P,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL,207.0
4-May-12,1,1115,3,NW LANTAU,2.0,458,ON,HKCRP,825569,804641,SPRING,NONE,P,2012-05-04,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NWL,458.0
4-May-12,2,1207,4,NW LANTAU,2.0,124,ON,HKCRP,825765,806382,SPRING,NONE,P,2012-05-04,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NWL,124.0
15-May-12,1,1040,14,W LANTAU,1.0,458,ON,HKCRP,814089,803020,SPRING,NONE,S,2012-05-15,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,458.0
15-May-12,2,1122,5,W LANTAU,1.0,39,ON,HKCRP,811468,801375,SPRING,NONE,P,2012-05-15,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,39.0
15-May-12,3,1142,3,W LANTAU,2.0,170,ON,HKCRP,810006,801351,SPRING,HANG,S,2012-05-15,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,170.0
15-May-12,4,1216,10,W LANTAU,2.0,199,ON,HKCRP,806672,801776,SPRING,NONE,S,2012-05-15,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,199.0
15-May-12,5,1352,1,SW LANTAU,2.0,ND,OFF,HKCRP,802294,809348,SPRING,NONE,,2012-05-15,2012,5,2012-13,2012,Final_Report_2012_13.pdf,SWL,
16-May-12,1,1558,4,W LANTAU,2.0,ND,OFF,HELI,817047,802377,SPRING,NONE,,2012-05-16,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
18-May-12,1,1016,4,W LANTAU,1.0,ND,OFF,HKCRP,814386,803701,SPRING,NONE,,2012-05-18,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
18-May-12,2,1030,7,W LANTAU,1.0,ND,OFF,HKCRP,813414,802678,SPRING,NONE,,2012-05-18,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
18-May-12,3,1531,2,NE LANTAU,3.0,ND,OFF,HKCRP,821364,815934,SPRING,NONE,,2012-05-18,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NEL,
24-May-12,1,0905,3,NW LANTAU,3.0,ND,OFF,HKCRP,817718,804604,SPRING,NONE,,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NWL,
24-May-12,2,0922,1,W LANTAU,4.0,189,ON,HKCRP,816955,803789,SPRING,NONE,P,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,189.0
24-May-12,3,0947,5,W LANTAU,4.0,ND,OFF,HKCRP,813989,803174,SPRING,HANG,,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
24-May-12,4,1012,1,W LANTAU,4.0,ND,OFF,HKCRP,814100,803143,SPRING,NONE,,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
24-May-12,5,1039,5,W LANTAU,4.0,ND,OFF,HKCRP,813624,802751,SPRING,NONE,,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
24-May-12,6,1153,5,W LANTAU,3.0,139,ON,HKCRP,811469,801066,SPRING,NONE,P,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,139.0
24-May-12,7,1212,7,W LANTAU,2.0,85,ON,HKCRP,811079,801931,SPRING,NONE,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,85.0
24-May-12,8,1241,5,W LANTAU,3.0,215,ON,HKCRP,809113,799544,SPRING,NONE,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,215.0
24-May-12,9,1309,1,W LANTAU,4.0,109,ON,HKCRP,807736,801490,SPRING,NONE,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,109.0
24-May-12,10,1319,1,W LANTAU,4.0,32,ON,HKCRP,808423,801172,SPRING,NONE,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,32.0
24-May-12,11,1337,2,W LANTAU,3.0,1319,ON,HKCRP,809689,799628,SPRING,NONE,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,1319.0
24-May-12,12,1350,1,W LANTAU,3.0,143,ON,HKCRP,810472,800991,SPRING,NONE,P,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,143.0
24-May-12,13,1356,4,W LANTAU,2.0,157,ON,HKCRP,810472,801135,SPRING,NONE,P,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,157.0
24-May-12,14,1409,14,W LANTAU,2.0,107,ON,HKCRP,810792,801714,SPRING,GILL NET,S,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,107.0
24-May-12,15,1509,2,W LANTAU,3.0,138,ON,HKCRP,814487,803051,SPRING,NONE,P,2012-05-24,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,138.0
30-May-12,1,1318,1,NE LANTAU,2.0,126,ON,HKCRP,822198,813257,SPRING,NONE,P,2012-05-30,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NEL,126.0
30-May-12,2,1837,1,NW LANTAU,2.0,ND,OFF,HKCRP,826941,805190,SPRING,NONE,,2012-05-30,2012,5,2012-13,2012,Final_Report_2012_13.pdf,NWL,
30-May-12,3,2249,2,W LANTAU,1.0,ND,OFF,HKCRP,806373,801869,SPRING,NONE,,2012-05-30,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
31-May-12,1,558,3,W LANTAU,0.0,ND,OFF,HKCRP,806318,801765,SPRING,NONE,,2012-05-31,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,
31-May-12,2,632,3,W LANTAU,1.0,474,ON,HKCRP,806475,800899,SPRING,NONE,P,2012-05-31,2012,5,2012-13,2012,Final_Report_2012_13.pdf,WL,474.0
