date_raw,area,beaufort,effort_km,season,vessel,primary_secondary,date,calendar_year,month,monitoring_period,monitoring_start_year,source_file,area_code
3-Apr-12,LAMMA,1,38.2,SPRING,STANDARD31516,P,2012-04-03,2012,4,2012-13,2012,Final_Report_2012_13.pdf,LM
3-Apr-12,LAMMA,2,30.8,SPRING,STANDARD31516,P,2012-04-03,2012,4,2012-13,2012,Final_Report_2012_13.pdf,LM
3-Apr-12,LAMMA,1,8.7,SPRING,STANDARD31516,S,2012-04-03,2012,4,2012-13,2012,Final_Report_2012_13.pdf,LM
3-Apr-12,LAMMA,2,11.6,SPRING,STANDARD31516,S,2012-04-03,2012,4,2012-13,2012,Final_Report_2012_13.pdf,LM
11-Apr-12,SE LANTAU,1,11.0,SPRING,STANDARD31516,P,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
11-Apr-12,SE LANTAU,2,13.1,SPRING,STANDARD31516,P,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
11-Apr-12,SE LANTAU,1,5.8,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
11-Apr-12,SE LANTAU,2,2.4,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
11-Apr-12,SW LANTAU,1,4.5,SPRING,STANDARD31516,P,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
11-Apr-12,SW LANTAU,2,21.2,SPRING,STANDARD31516,P,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
11-Apr-12,SW LANTAU,1,4.2,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
11-Apr-12,SW LANTAU,2,5.6,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
11-Apr-12,W LANTAU,2,1.0,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
11-Apr-12,W LANTAU,3,8.4,SPRING,STANDARD31516,S,2012-04-11,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,1,4.6,SPRING,STANDARD31516,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,2,10.9,SPRING,STANDARD31516,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,3,4.9,SPRING,STANDARD31516,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,1,2.7,SPRING,STANDARD31516,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,2,12.7,SPRING,STANDARD31516,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,W LANTAU,3,4.8,SPRING,STANDARD31516,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
12-Apr-12,NW LANTAU,3,17.9,SPRING,STANDARD31516,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
12-Apr-12,NW LANTAU,4,7.5,SPRING,STANDARD31516,P,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
12-Apr-12,NW LANTAU,3,6.1,SPRING,STANDARD31516,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
12-Apr-12,NW LANTAU,4,2.9,SPRING,STANDARD31516,S,2012-04-12,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
26-Apr-12,SE LANTAU,1,3.1,SPRING,STANDARD31516,P,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
26-Apr-12,SE LANTAU,2,20.2,SPRING,STANDARD31516,P,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
26-Apr-12,SE LANTAU,2,8.6,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SEL
26-Apr-12,SW LANTAU,2,8.4,SPRING,STANDARD31516,P,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
26-Apr-12,SW LANTAU,3,0.8,SPRING,STANDARD31516,P,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
26-Apr-12,SW LANTAU,2,12.3,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
26-Apr-12,SW LANTAU,3,2.3,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,SWL
26-Apr-12,W LANTAU,2,2.9,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
26-Apr-12,W LANTAU,3,3.0,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
26-Apr-12,W LANTAU,4,3.2,SPRING,STANDARD31516,S,2012-04-26,2012,4,2012-13,2012,Final_Report_2012_13.pdf,WL
27-Apr-12,NW LANTAU,3,8.2,SPRING,STANDARD31516,P,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
27-Apr-12,NW LANTAU,4,13.8,SPRING,STANDARD31516,P,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
27-Apr-12,NW LANTAU,5,4.0,SPRING,STANDARD31516,P,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
27-Apr-12,NW LANTAU,3,3.1,SPRING,STANDARD31516,S,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
27-Apr-12,NW LANTAU,4,4.1,SPRING,STANDARD31516,S,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NWL
27-Apr-12,NE LANTAU,2,3.6,SPRING,STANDARD31516,P,2012-04-27,2012,4,2012-13,2012,Final_Report_2012_13.pdf,NEL
