source_file,Water Control Zone,Station,Dates,monitoring_period,monitoring_start_year,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
marine-historical-2012-en.csv,Deep Bay,DM1,2012-01-14,2011-12,2011,16.2,18.9,3.9,29.4,51.0,1.4,3.8,5.7
marine-historical-2012-en.csv,Deep Bay,DM1,2012-02-10,2011-12,2011,15.3,23.1,6.8,13.1,16.0,2.0,1.6,3.7
marine-historical-2012-en.csv,Deep Bay,DM1,2012-03-12,2011-12,2011,16.1,22.8,5.8,39.6,73.0,1.0,1.5,2.8
marine-historical-2012-en.csv,Deep Bay,DM1,2012-04-25,2012-13,2012,25.9,14.1,6.8,21.6,27.0,3.1,1.3,2.94
marine-historical-2012-en.csv,Deep Bay,DM1,2012-05-10,2012-13,2012,30.7,8.6,6.0,14.7,15.0,3.6,1.7,3.5
marine-historical-2012-en.csv,Deep Bay,DM1,2012-06-07,2012-13,2012,29.8,16.6,5.2,18.6,21.0,2.1,0.84,2.25
marine-historical-2012-en.csv,Deep Bay,DM1,2012-07-12,2012-13,2012,31.3,0.7,2.5,27.5,45.0,27.0,5.6,7.21
marine-historical-2012-en.csv,Deep Bay,DM1,2012-08-02,2012-13,2012,31.4,8.7,3.4,28.4,11.0,5.3,1.4,2.74
marine-historical-2012-en.csv,Deep Bay,DM1,2012-09-03,2012-13,2012,30.6,14.2,4.1,34.3,31.0,2.4,0.97,2.54
marine-historical-2012-en.csv,Deep Bay,DM1,2012-10-05,2012-13,2012,27.1,18.7,4.5,70.6,68.0,1.7,0.99,2.84
marine-historical-2012-en.csv,Deep Bay,DM1,2012-11-15,2012-13,2012,23.7,21.3,5.6,68.3,100.0,6.1,1.2,2.98
marine-historical-2012-en.csv,Deep Bay,DM1,2012-12-15,2012-13,2012,20.8,18.7,3.7,43.8,140.0,1.9,2.4,4.28
marine-historical-2012-en.csv,Deep Bay,DM2,2012-01-14,2011-12,2011,16.1,23.3,5.4,12.2,13.0,1.0,2.3,3.72
marine-historical-2012-en.csv,Deep Bay,DM2,2012-02-10,2011-12,2011,15.3,23.9,7.3,4.8,6.5,1.3,1.2,2.97
marine-historical-2012-en.csv,Deep Bay,DM2,2012-03-12,2011-12,2011,16.4,24.1,6.0,8.5,19.0,2.2,0.96,2.16
marine-historical-2012-en.csv,Deep Bay,DM2,2012-04-25,2012-13,2012,25.6,14.5,6.9,12.8,14.0,2.6,1.1,2.95
marine-historical-2012-en.csv,Deep Bay,DM2,2012-05-10,2012-13,2012,30.7,9.3,6.6,13.0,9.6,5.4,1.4,3.24
marine-historical-2012-en.csv,Deep Bay,DM2,2012-06-07,2012-13,2012,30.2,15.7,5.1,13.5,15.0,4.0,0.63,1.98
marine-historical-2012-en.csv,Deep Bay,DM2,2012-07-12,2012-13,2012,31.5,1.8,5.0,28.6,33.0,31.0,7.0,8.64
marine-historical-2012-en.csv,Deep Bay,DM2,2012-08-02,2012-13,2012,32.0,9.3,4.9,26.6,8.1,3.6,1.5,2.81
marine-historical-2012-en.csv,Deep Bay,DM2,2012-09-03,2012-13,2012,30.5,14.9,4.0,30.1,27.0,3.2,0.71,2.47
marine-historical-2012-en.csv,Deep Bay,DM2,2012-10-05,2012-13,2012,27.5,20.6,5.0,26.7,45.0,1.9,0.66,2.36
marine-historical-2012-en.csv,Deep Bay,DM2,2012-11-15,2012-13,2012,24.0,22.4,5.6,61.3,85.0,1.5,0.86,2.67
marine-historical-2012-en.csv,Deep Bay,DM2,2012-12-15,2012-13,2012,20.6,22.7,5.5,20.3,23.0,5.5,1.4,2.78
marine-historical-2012-en.csv,Deep Bay,DM3,2012-01-14,2011-12,2011,16.2,28.1,6.9,3.6,5.3,2.6,0.81,1.6
marine-historical-2012-en.csv,Deep Bay,DM3,2012-02-10,2011-12,2011,15.9,28.1,7.6,2.7,3.0,2.3,0.34,1.12
marine-historical-2012-en.csv,Deep Bay,DM3,2012-03-12,2011-12,2011,17.0,24.8,6.6,6.6,12.0,1.8,0.57,1.59
marine-historical-2012-en.csv,Deep Bay,DM3,2012-04-25,2012-13,2012,25.1,13.6,7.4,7.3,8.1,2.3,0.71,3.12
marine-historical-2012-en.csv,Deep Bay,DM3,2012-05-10,2012-13,2012,29.3,10.1,7.5,5.0,5.0,9.1,0.18,2.47
marine-historical-2012-en.csv,Deep Bay,DM3,2012-06-07,2012-13,2012,29.3,15.3,6.7,6.3,6.9,3.8,0.29,1.75
marine-historical-2012-en.csv,Deep Bay,DM3,2012-07-12,2012-13,2012,31.6,6.5,6.6,18.5,17.0,11.0,1.1,2.84
marine-historical-2012-en.csv,Deep Bay,DM3,2012-08-02,2012-13,2012,30.3,14.3,5.4,13.8,3.8,3.6,0.27,1.94
marine-historical-2012-en.csv,Deep Bay,DM3,2012-09-03,2012-13,2012,29.8,20.2,3.6,20.2,14.0,0.4,0.1,1.44
marine-historical-2012-en.csv,Deep Bay,DM3,2012-10-05,2012-13,2012,28.0,24.7,5.9,3.4,8.6,1.7,0.22,1.34
marine-historical-2012-en.csv,Deep Bay,DM3,2012-11-15,2012-13,2012,24.6,26.2,5.0,5.4,5.0,6.3,0.14,1.14
marine-historical-2012-en.csv,Deep Bay,DM3,2012-12-15,2012-13,2012,20.9,25.7,3.9,13.7,18.0,2.6,0.46,1.38
marine-historical-2012-en.csv,Deep Bay,DM4,2012-01-14,2011-12,2011,14.9,25.2,7.8,6.0,7.5,5.5,0.31,0.73
marine-historical-2012-en.csv,Deep Bay,DM4,2012-02-10,2011-12,2011,16.6,29.8,7.3,5.5,7.6,1.2,0.27,0.75
marine-historical-2012-en.csv,Deep Bay,DM4,2012-03-12,2011-12,2011,17.0,24.8,6.8,5.0,7.3,0.6,0.57,1.51
marine-historical-2012-en.csv,Deep Bay,DM4,2012-04-25,2012-13,2012,25.0,14.5,8.0,6.0,5.2,3.9,0.57,2.82
marine-historical-2012-en.csv,Deep Bay,DM4,2012-05-10,2012-13,2012,28.9,11.4,8.1,1.7,2.3,6.4,0.11,2.18
marine-historical-2012-en.csv,Deep Bay,DM4,2012-06-07,2012-13,2012,29.6,15.3,6.3,4.3,5.9,1.5,0.26,1.71
marine-historical-2012-en.csv,Deep Bay,DM4,2012-07-12,2012-13,2012,31.0,9.0,8.6,7.8,8.2,8.7,0.074,1.77
marine-historical-2012-en.csv,Deep Bay,DM4,2012-08-02,2012-13,2012,29.9,15.9,4.8,11.8,1.7,1.9,0.25,1.91
marine-historical-2012-en.csv,Deep Bay,DM4,2012-09-03,2012-13,2012,29.9,20.0,4.4,13.6,5.6,1.7,0.063,1.54
marine-historical-2012-en.csv,Deep Bay,DM4,2012-10-05,2012-13,2012,28.3,24.1,5.6,2.4,7.5,0.3,0.089,1.34
marine-historical-2012-en.csv,Deep Bay,DM4,2012-11-15,2012-13,2012,24.9,25.6,5.7,12.5,18.0,1.3,0.14,1.18
marine-historical-2012-en.csv,Deep Bay,DM4,2012-12-15,2012-13,2012,21.2,23.5,6.4,12.6,18.0,1.3,0.41,1.35
marine-historical-2012-en.csv,Deep Bay,DM5,2012-01-14,2011-12,2011,17.1,31.1,7.6,11.3,14.0,3.8,0.1,0.38
marine-historical-2012-en.csv,Deep Bay,DM5,2012-02-10,2011-12,2011,16.5,30.3,7.3,4.6,6.7,1.0,0.22,0.64
marine-historical-2012-en.csv,Deep Bay,DM5,2012-03-12,2011-12,2011,17.0,27.7,7.0,4.2,4.9,0.8,0.37,1.03
marine-historical-2012-en.csv,Deep Bay,DM5,2012-04-25,2012-13,2012,24.7,16.3,7.8,5.8,3.4,2.8,0.47,2.55
marine-historical-2012-en.csv,Deep Bay,DM5,2012-05-10,2012-13,2012,28.9,12.2,9.0,2.2,2.2,9.6,0.097,2.17
marine-historical-2012-en.csv,Deep Bay,DM5,2012-06-07,2012-13,2012,29.0,17.2,6.7,4.4,4.0,1.4,0.24,1.51
marine-historical-2012-en.csv,Deep Bay,DM5,2012-07-12,2012-13,2012,30.0,5.7,8.0,7.0,7.5,4.9,0.046,1.99
marine-historical-2012-en.csv,Deep Bay,DM5,2012-08-02,2012-13,2012,29.3,17.6,4.4,13.9,8.1,1.2,0.16,1.49
marine-historical-2012-en.csv,Deep Bay,DM5,2012-09-03,2012-13,2012,29.5,21.8,4.2,11.9,4.7,1.5,0.069,1.32
marine-historical-2012-en.csv,Deep Bay,DM5,2012-10-05,2012-13,2012,28.0,26.3,5.5,2.2,6.3,0.6,0.076,0.98
marine-historical-2012-en.csv,Deep Bay,DM5,2012-11-15,2012-13,2012,24.9,27.7,4.8,4.2,6.7,1.7,0.12,0.85
marine-historical-2012-en.csv,Deep Bay,DM5,2012-12-15,2012-13,2012,21.3,26.9,6.4,6.4,6.8,2.5,0.33,1.0
marine-historical-2012-en.csv,Eastern Buffer,EM1,2012-01-09,2011-12,2011,17.5,30.8,8.2,1.2,2.0,4.1,0.043,0.31
