monitoring_period,monitoring_start_year,area_code,hzmb_construction,hzmb_post_open,rs3_reclamation,mp_brothers,mp_sw_lantau,mp_south_lantau,any_reclamation,any_marine_park
2012-13,2012,DB,0,0,0,0,0,0,0,0
2012-13,2012,LM,0,0,0,0,0,0,0,0
2012-13,2012,NEL,1,0,0,0,0,0,1,0
2012-13,2012,NP,0,0,0,0,0,0,0,0
2012-13,2012,NWL,0,0,0,0,0,0,0,0
2012-13,2012,PT,0,0,0,0,0,0,0,0
2012-13,2012,SEL,0,0,0,0,0,0,0,0
2012-13,2012,SWL,0,0,0,0,0,0,0,0
2012-13,2012,WL,0,0,0,0,0,0,0,0
2013-14,2013,DB,0,0,0,0,0,0,0,0
2013-14,2013,LM,0,0,0,0,0,0,0,0
2013-14,2013,NEL,1,0,0,0,0,0,1,0
2013-14,2013,NP,0,0,0,0,0,0,0,0
2013-14,2013,NWL,0,0,0,0,0,0,0,0
2013-14,2013,PT,0,0,0,0,0,0,0,0
2013-14,2013,SEL,0,0,0,0,0,0,0,0
2013-14,2013,SWL,0,0,0,0,0,0,0,0
2013-14,2013,WL,0,0,0,0,0,0,0,0
2014-15,2014,DB,0,0,0,0,0,0,0,0
2014-15,2014,LM,0,0,0,0,0,0,0,0
2014-15,2014,NEL,1,0,0,0,0,0,1,0
2014-15,2014,NP,0,0,0,0,0,0,0,0
2014-15,2014,NWL,0,0,0,0,0,0,0,0
2014-15,2014,PT,0,0,0,0,0,0,0,0
2014-15,2014,SEL,0,0,0,0,0,0,0,0
2014-15,2014,SK,0,0,0,0,0,0,0,0
2014-15,2014,SWL,0,0,0,0,0,0,0,0
2014-15,2014,WL,0,0,0,0,0,0,0,0
2015-16,2015,DB,0,0,0,0,0,0,0,0
2015-16,2015,LM,0,0,0,0,0,0,0,0
2015-16,2015,NEL,1,0,0,0,0,0,1,0
2015-16,2015,NP,0,0,0,0,0,0,0,0
2015-16,2015,NWL,0,0,0,0,0,0,0,0
2015-16,2015,PT,0,0,0,0,0,0,0,0
2015-16,2015,SEL,0,0,0,0,0,0,0,0
2015-16,2015,SK,0,0,0,0,0,0,0,0
2015-16,2015,SWL,0,0,0,0,0,0,0,0
2015-16,2015,WL,0,0,0,0,0,0,0,0
2016-17,2016,DB,0,0,0,0,0,0,0,0
2016-17,2016,LM,0,0,0,0,0,0,0,0
2016-17,2016,NEL,1,0,1,1,0,0,1,1
2016-17,2016,NP,0,0,0,0,0,0,0,0
2016-17,2016,NWL,0,0,1,0,0,0,1,0
2016-17,2016,PT,0,0,0,0,0,0,0,0
2016-17,2016,SEL,0,0,0,0,0,0,0,0
2016-17,2016,SK,0,0,0,0,0,0,0,0
2016-17,2016,SWL,0,0,0,0,0,0,0,0
2016-17,2016,WL,0,0,0,0,0,0,0,0
2017-18,2017,DB,0,0,0,0,0,0,0,0
2017-18,2017,LM,0,0,0,0,0,0,0,0
2017-18,2017,NEL,1,0,1,1,0,0,1,1
2017-18,2017,NP,0,0,0,0,0,0,0,0
2017-18,2017,NWL,0,0,1,0,0,0,1,0
2017-18,2017,PT,0,0,0,0,0,0,0,0
2017-18,2017,SEL,0,0,0,0,0,0,0,0
2017-18,2017,SK,0,0,0,0,0,0,0,0
2017-18,2017,SWL,0,0,0,0,0,0,0,0
2017-18,2017,WL,0,0,0,0,0,0,0,0
2018-19,2018,DB,0,0,0,0,0,0,0,0
2018-19,2018,LM,0,0,0,0,0,0,0,0
2018-19,2018,NEL,0,1,1,1,0,0,1,1
2018-19,2018,NP,0,0,0,0,0,0,0,0
2018-19,2018,NWL,0,1,1,0,0,0,1,0
2018-19,2018,PT,0,0,0,0,0,0,0,0
2018-19,2018,SEL,0,0,0,0,0,0,0,0
2018-19,2018,SK,0,0,0,0,0,0,0,0
2018-19,2018,SWL,0,0,0,0,0,0,0,0
2018-19,2018,WL,0,0,0,0,0,0,0,0
2019-20,2019,DB,0,0,0,0,0,0,0,0
2019-20,2019,LM,0,0,0,0,0,0,0,0
2019-20,2019,NEL,0,1,1,1,0,0,1,1
2019-20,2019,NP,0,0,0,0,0,0,0,0
2019-20,2019,NWL,0,1,1,0,0,0,1,0
2019-20,2019,PT,0,0,0,0,0,0,0,0
2019-20,2019,SEL,0,0,0,0,0,0,0,0
2019-20,2019,SK,0,0,0,0,0,0,0,0
2019-20,2019,SWL,0,0,0,0,0,0,0,0
2019-20,2019,WL,0,0,0,0,0,0,0,0
2020-21,2020,DB,0,0,0,0,0,0,0,0
2020-21,2020,LM,0,0,0,0,0,0,0,0
2020-21,2020,NEL,0,1,1,1,0,0,1,1
2020-21,2020,NP,0,0,0,0,0,0,0,0
2020-21,2020,NWL,0,1,1,0,0,0,1,0
2020-21,2020,PT,0,0,0,0,0,0,0,0
2020-21,2020,SEL,0,0,0,0,0,0,0,0
2020-21,2020,SK,0,0,0,0,0,0,0,0
2020-21,2020,SWL,0,0,0,0,1,0,0,1
2020-21,2020,WL,0,0,0,0,0,0,0,0
2021-22,2021,DB,0,0,0,0,0,0,0,0
2021-22,2021,EL,0,0,0,0,0,0,0,0
2021-22,2021,LM,0,0,0,0,0,0,0,0
2021-22,2021,NEL,0,1,0,1,0,0,0,1
2021-22,2021,NP,0,0,0,0,0,0,0,0
2021-22,2021,NWL,0,1,0,0,0,0,0,0
2021-22,2021,PT,0,0,0,0,0,0,0,0
2021-22,2021,SEL,0,0,0,0,0,0,0,0
2021-22,2021,SWL,0,0,0,0,1,0,0,1
2021-22,2021,WL,0,0,0,0,0,0,0,0
