monitoring_period,monitoring_start_year,area_code,n_samples,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
2011-12,2011,DB,15,16.24,25.733333333333334,6.673333333333333,10.473333333333333,16.453333333333333,1.9,0.9946666666666667,2.026666666666667
2011-12,2011,NEL,16,15.9,31.35625,7.95,2.475,2.84375,0.65,0.1270625,0.378125
2011-12,2011,NWL,20,17.64,29.839999999999996,7.534999999999999,2.87,2.875,1.6949999999999998,0.19695000000000001,0.628
2011-12,2011,SWL,9,16.633333333333333,31.21111111111111,8.233333333333333,5.077777777777778,7.199999999999999,3.6666666666666665,0.050444444444444445,0.2811111111111111
2011-12,2011,WL,20,17.64,29.839999999999996,7.534999999999999,2.87,2.875,1.6949999999999998,0.19695000000000001,0.628
2012-13,2012,DB,60,25.761666666666667,18.425,6.27,20.006666666666668,24.720000000000002,12.09,0.8945500000000001,2.2876666666666665
2012-13,2012,NEL,60,23.96333333333333,29.841666666666665,6.668333333333334,12.593333333333334,3.106666666666667,3.185,0.12408333333333334,0.42883333333333334
2012-13,2012,NWL,78,25.237179487179485,24.516666666666666,7.343589743589743,4.932051282051282,5.051282051282051,6.046153846153847,0.12383333333333334,0.8343589743589743
2012-13,2012,SWL,36,24.605555555555554,28.82222222222222,7.8500000000000005,4.625,3.638888888888889,4.341666666666667,0.04708333333333334,0.3386111111111111
2012-13,2012,WL,78,25.237179487179485,24.516666666666666,7.343589743589743,4.932051282051282,5.051282051282051,6.046153846153847,0.12383333333333334,0.8343589743589743
2013-14,2013,DB,60,23.801666666666666,19.53666666666667,5.1866666666666665,16.19,19.295,2.7266666666666666,1.0704,2.105166666666667
2013-14,2013,NEL,60,22.886666666666667,30.065,5.513333333333334,2.6,2.783333333333333,1.975,0.09751666666666667,0.3641666666666667
2013-14,2013,NWL,78,23.612820512820512,24.82179487179487,6.089743589743589,5.6551282051282055,7.314102564102564,4.134615384615385,0.12426923076923077,0.7482051282051282
2013-14,2013,SWL,36,23.477777777777778,29.674999999999997,6.597222222222222,3.836111111111111,4.208333333333333,4.066666666666666,0.03136111111111111,0.26166666666666666
2013-14,2013,WL,78,23.612820512820512,24.82179487179487,6.089743589743589,5.6551282051282055,7.314102564102564,4.134615384615385,0.12426923076923077,0.7482051282051282
2014-15,2014,DB,60,24.490000000000002,19.88,5.193333333333333,14.74,21.65666666666667,5.9399999999999995,0.7764833333333333,1.8065
2014-15,2014,NEL,60,23.756666666666668,31.065,5.4383333333333335,3.1783333333333337,4.196666666666667,3.2983333333333333,0.10386666666666668,0.29683333333333334
2014-15,2014,NWL,78,24.294871794871796,25.657692307692308,5.916666666666667,4.21025641025641,4.8730769230769235,2.7346153846153847,0.09378205128205129,0.6974358974358974
2014-15,2014,SWL,36,24.413888888888888,29.591666666666665,6.769444444444444,3.1305555555555555,4.205555555555556,5.324999999999999,0.06463888888888888,0.2838888888888889
