monitoring_period,monitoring_start_year,Water Control Zone,n_samples,temperature,salinity,dissolved_oxygen_mg_l,turbidity,suspended_solids,chlorophyll_a,ammonia_nitrogen,total_inorganic_nitrogen
2011-12,2011,Deep Bay,15,16.24,25.733333333333334,6.673333333333333,10.473333333333333,16.453333333333333,1.9,0.9946666666666667,2.026666666666667
2011-12,2011,North Western,20,17.64,29.839999999999996,7.534999999999999,2.87,2.875,1.6949999999999998,0.19695000000000001,0.628
2011-12,2011,Southern,52,16.903846153846153,31.4,8.23076923076923,3.4615384615384617,5.015384615384615,5.4096153846153845,0.057673076923076924,0.26807692307692305
2011-12,2011,Western Buffer,16,15.9,31.35625,7.95,2.475,2.84375,0.65,0.1270625,0.378125
2012-13,2012,Deep Bay,60,25.761666666666667,18.425,6.27,20.006666666666668,24.720000000000002,12.09,0.8945500000000001,2.2876666666666665
2012-13,2012,North Western,78,25.237179487179485,24.516666666666666,7.343589743589743,4.932051282051282,5.051282051282051,6.046153846153847,0.12383333333333334,0.8343589743589743
2012-13,2012,Southern,204,24.37107843137255,29.886764705882353,7.662745098039216,3.4441176470588237,3.351960784313725,5.054411764705882,0.06501960784313725,0.2940196078431373
2012-13,2012,Western Buffer,60,23.96333333333333,29.841666666666665,6.668333333333334,12.593333333333334,3.106666666666667,3.185,0.12408333333333334,0.42883333333333334
2013-14,2013,Deep Bay,60,23.801666666666666,19.53666666666667,5.1866666666666665,16.19,19.295,2.7266666666666666,1.0704,2.105166666666667
2013-14,2013,North Western,78,23.612820512820512,24.82179487179487,6.089743589743589,5.6551282051282055,7.314102564102564,4.134615384615385,0.12426923076923077,0.7482051282051282
2013-14,2013,Southern,204,23.530882352941177,29.860294117647058,6.648039215686275,5.629411764705883,3.580392156862745,4.942647058823529,0.04687254901960784,0.2757352941176471
2013-14,2013,Western Buffer,60,22.886666666666667,30.065,5.513333333333334,2.6,2.783333333333333,1.975,0.09751666666666667,0.3641666666666667
2014-15,2014,Deep Bay,60,24.490000000000002,19.88,5.193333333333333,14.74,21.65666666666667,5.9399999999999995,0.7764833333333333,1.8065
2014-15,2014,North Western,78,24.294871794871796,25.657692307692308,5.916666666666667,4.21025641025641,4.8730769230769235,2.7346153846153847,0.09378205128205129,0.6974358974358974
2014-15,2014,Southern,204,24.28578431372549,30.475490196078432,6.574509803921569,2.8205882352941174,3.4250000000000003,7.0,0.06276470588235294,0.22382352941176473
2014-15,2014,Western Buffer,60,23.756666666666668,31.065,5.4383333333333335,3.1783333333333337,4.196666666666667,3.2983333333333333,0.10386666666666668,0.29683333333333334
2015-16,2015,Deep Bay,60,24.923333333333336,17.921666666666667,5.275,10.626666666666667,15.463333333333333,6.781666666666666,0.64725,1.8658333333333335
2015-16,2015,North Western,78,24.406410256410258,24.49102564102564,6.174358974358975,5.680769230769231,7.203846153846153,2.669230769230769,0.11384615384615386,0.8038461538461539
2015-16,2015,Southern,204,24.129411764705882,29.66421568627451,7.133333333333334,3.992156862745098,4.625,8.606372549019609,0.05574019607843137,0.2851470588235294
2015-16,2015,Western Buffer,60,23.855,30.058333333333334,6.058333333333334,4.763333333333334,4.883333333333334,4.291666666666667,0.10193333333333333,0.35700000000000004
2016-17,2016,Deep Bay,60,25.211666666666666,16.04,5.461666666666667,19.386666666666667,27.021666666666665,5.04,0.8946833333333334,1.8875
2016-17,2016,North Western,78,24.596153846153847,23.608974358974358,6.001282051282051,29.488461538461536,5.702564102564103,3.2884615384615383,0.1023974358974359,0.7646153846153846
2016-17,2016,Southern,204,23.994117647058825,29.58235294117647,6.667156862745098,5.143627450980392,7.017156862745098,6.809803921568627,0.05714705882352941,0.23872549019607844
2016-17,2016,Western Buffer,60,23.654999999999998,29.581666666666667,5.795,8.353333333333333,3.9949999999999997,2.1733333333333333,0.10515000000000001,0.3343333333333333
2017-18,2017,Deep Bay,60,25.423333333333336,19.113333333333333,5.905,13.57,21.096666666666668,9.861666666666668,0.4647833333333333,1.614
2017-18,2017,North Western,78,23.98589743589744,24.137179487179488,6.121794871794871,7.030769230769231,8.546153846153846,1.8935897435897435,0.08678205128205128,0.8162820512820513
2017-18,2017,Southern,204,24.313725490196077,29.573039215686272,7.122549019607843,3.83921568627451,7.96078431372549,7.249019607843137,0.048058823529411765,0.27254901960784317
2017-18,2017,Western Buffer,60,23.988333333333333,29.53666666666667,6.183333333333334,3.68,5.87,4.87,0.0906,0.35866666666666663
2018-19,2018,Deep Bay,60,25.44,19.19,5.278333333333333,16.578333333333333,28.461666666666666,3.0616666666666665,0.30201666666666666,1.5965
